Rk,Player,Sh,SoT,SoT%,Club,ClubCountryCode,ClubContinent
145,Ayyoub Bouaddi,3,0,0.0,1.fr Lille,fr,Europe
542,Romelu Lukaku,6,3,50.0,1.it Napoli,it,Europe
733,Kevin Pina,5,1,20.0,1.ru Krasnodar,ru,Europe
491,Joshua Kimmich,5,1,20.0,1.de Bayern Munich,de,Europe
815,Michal Sad¡lek,7,3,42.9,1.cz Slavia Prague,cz,Europe
911,Mattias Svanberg,3,2,66.7,1.de Wolfsburg,de,Europe
962,Can Uzun,4,1,25.0,1.de Frankfurt,de,Europe
766,Raphinha,3,2,66.7,1.es Barcelona,es,Europe
969,Hlio Varela,3,1,33.3,1.il Maccabi Tel Aviv,il,Europe
546,Alexis Mac Allister,13,4,30.8,1.eng Liverpool,eng,Europe
300,Abdul Fatawu Issahaku,3,0,0.0,2.eng Leicester City,eng,Europe
743,Stefan Posch,3,0,0.0,1.de Mainz 05,de,Europe
853,Antoine Semenyo,6,0,0.0,1.eng Manchester City,eng,Europe
1005,Florian Wirtz,10,1,10.0,1.eng Liverpool,eng,Europe
1002,Nico Williams,4,2,50.0,1.es Athletic Club,es,Europe
566,Johan Manzambi,6,3,50.0,1.de Freiburg,de,Europe
750,Christian Pulisic,4,2,50.0,1.it Milan,it,Europe
249,Amad Diallo,8,4,50.0,1.eng Manchester Utd,eng,Europe
310,?lvaro Fidalgo,3,2,66.7,1.es Real Betis,es,Europe
928,Arthur Theate,5,1,20.0,1.de Frankfurt,de,Europe
201,Alessandro Circati,3,0,0.0,1.it Parma,it,Europe
282,Nico Elvedi,3,0,0.0,1.de Gladbach,de,Europe
665,Jo?o Neves,3,1,33.3,1.fr PSG,fr,Europe
794,Kevin Rodr¡guez,6,1,16.7,1.be Union SG,be,Europe
681,Nico O'Reilly,7,1,14.3,1.eng Manchester City,eng,Europe
790,Rodri,7,0,0.0,1.eng Manchester City,eng,Europe
604,Amar Memi?,3,1,33.3,1.cz Viktoria Plze?,cz,Europe
185,Fares Chabi,9,3,33.3,1.de Frankfurt,de,Europe
75,Maxi Ara£jo,4,3,75.0,1.pt Sporting CP,pt,Europe
443,Nicolas Jackson,7,3,42.9,1.de Bayern Munich,de,Europe
111,Martin Baturina,3,1,33.3,1.it Como,it,Europe
424,Oh Hyeon-gyu,4,2,50.0,1.tr Be?ikta?,tr,Europe
122,Jean-Ricner Bellegarde,6,0,0.0,1.eng Wolves,eng,Europe
463,Elijah Just,7,5,71.4,1.sct Motherwell,sct,Europe
494,Orkun Kk,3,0,0.0,1.tr Be?ikta?,tr,Europe
284,Julio Enciso,8,1,12.5,1.fr Strasbourg,fr,Europe
889,Marko Stamenic,3,0,0.0,2.eng Swansea City,eng,Europe
899,Petar Su?i?,3,2,66.7,1.it Inter,it,Europe
55,Juli n ?lvarez,11,5,45.5,1.es Atltico Madrid,es,Europe
271,Deroy Duarte,3,2,66.7,1.bg Ludogorets,bg,Europe
203,Livano Comenencia,5,2,40.0,1.ch Zrich,ch,Europe
487,Bilal El Khannouss,6,4,66.7,1.de Stuttgart,de,Europe
268,David Doud?ra,4,0,0.0,1.cz Slavia Prague,cz,Europe
123,Jude Bellingham,19,13,68.4,1.es Real Madrid,es,Europe
435,Wilson Isidor,5,2,40.0,1.eng Sunderland,eng,Europe
508,Ladislav Krej?¡,5,1,20.0,1.eng Wolves,eng,Europe
107,Bradley Barcola,10,5,50.0,1.fr PSG,fr,Europe
986,Nikola Vla?i?,3,1,33.3,1.it Torino,it,Europe
799,Cristian Romero,3,1,33.3,1.eng Tottenham,eng,Europe
402,Jan Paul van Hecke,3,2,66.7,1.eng Brighton,eng,Europe
318,Alex Freeman,4,1,25.0,1.es Villarreal,es,Europe
693,Dani Olmo,13,2,15.4,1.es Barcelona,es,Europe
592,Nathanal Mbuku,3,2,66.7,2.fr Montpellier,fr,Europe
99,?lex Baena,12,5,41.7,1.es Atltico Madrid,es,Europe
589,Ibrahim Mbaye,4,1,25.0,1.fr PSG,fr,Europe
83,Marko Arnautovi?,3,3,100.0,1.rs Red Star,rs,Europe
987,Cristian Volpato,4,1,25.0,1.it Sassuolo,it,Europe
1011,Granit Xhaka,9,2,22.2,1.eng Sunderland,eng,Europe
157,Tajon Buchanan,6,3,50.0,1.es Villarreal,es,Europe
828,Leroy San,6,2,33.3,1.tr Galatasaray,tr,Europe
64,Abdulelah Al-Amri,4,2,50.0,,sa,Non-Europe
800,Luis Romo,3,1,33.3,1.mx Guadalajara,mx,Non-Europe
260,Diney,4,2,50.0,1.ae Al Bataeh,ae,Non-Europe
20,Ricardo Ad,4,1,25.0,1.ec LDU Quito,ec,Non-Europe
423,Ayman Hussein,3,1,33.3,1.iq Al-Karma,iq,Non-Europe
695,Ali Olwan,6,3,50.0,1.qa Al-Sailiya SC,qa,Non-Europe
135,Sebastian Berhalter,3,1,33.3,1.us Vancouver,us,Non-Europe
541,Jos Luis Rodr¡guez,3,1,33.3,1.mx FC Ju rez,mx,Non-Europe
173,Jaminton Campaz,6,3,50.0,1.ar Rosario Central,ar,Non-Europe
739,Gonzalo Plata,8,5,62.5,1.br Flamengo,br,Non-Europe
627,Teboho Mokoena,4,2,50.0,1.za Sundowns,za,Non-Europe
475,Mohamed Kanno,3,2,66.7,1.sa Al-Hilal,sa,Non-Europe
88,Marwan Attia,4,0,0.0,1.eg Al Ahly,eg,Non-Europe
622,Relebohile Mofokeng,3,1,33.3,1.za Orlando Pirates,za,Non-Europe
72,Houssem Aouar,3,1,33.3,1.sa Al-Ittihad,sa,Non-Europe
337,Saman Ghoddos,4,0,0.0,1.ae Al-Ittihad Kalba,ae,Non-Europe
755,Juan Quintero,4,0,0.0,1.ar River Plate,ar,Non-Europe
667,Neymar,3,2,66.7,1.br Santos,br,Non-Europe
489,Boualem Khoukhi,3,1,33.3,1.qa Al Sadd,qa,Non-Europe
583,Mauricio,4,3,75.0,1.br Palmeiras,br,Non-Europe
785,R¢-R¢,3,1,33.3,1.qa Al Sadd,qa,Non-Europe
244,Merih Demiral,6,2,33.3,1.sa Al-Ahli,sa,Non-Europe
555,Riyad Mahrez,6,3,50.0,1.sa Al-Ahli,sa,Non-Europe
620,Aubrey Modiba,5,1,20.0,1.za Sundowns,za,Non-Europe
984,Pedro Vite,4,1,25.0,1.mx UNAM,mx,Non-Europe
81,Jhon Arias,9,4,44.4,1.br Palmeiras,br,Non-Europe
753,Juli n Qui¤ones,14,6,42.9,1.sa Al-Qadsiah,sa,Non-Europe
591,Mbekezeli Mbokazi,4,1,25.0,1.us Chicago Fire,us,Non-Europe
461,Edmilson Junior,3,2,66.7,1.qa Al Duhail SC,qa,Non-Europe
623,Shahriar Moghanlou,3,0,0.0,1.ae Al-Ittihad Kalba,ae,Non-Europe
1035,Zizo,3,1,33.3,1.eg Al Ahly,eg,Non-Europe
292,Saeid Ezatolahi,6,2,33.3,1.ae Al-Ahli Dubai FC,ae,Non-Europe
779,Ramin Rezaeian,4,2,50.0,1.ir Foolad,ir,Non-Europe
394,Carlos Harvey,5,0,0.0,1.us Minnesota Utd,us,Non-Europe
584,Fiston Mayele,5,1,20.0,1.eg Pyramids FC,eg,Non-Europe
177,Agust¡n Canobbio,4,1,25.0,1.br Fluminense,br,Non-Europe
812,Mahmoud Saber,3,1,33.3,1.eg ZED,eg,Non-Europe
53,Roberto Alvarado,5,0,0.0,1.mx Guadalajara,mx,Non-Europe
256,Ismael D¡az,6,2,33.3,1.mx Le¢n,mx,Non-Europe
565,Juan Manuel Sanabria,3,0,0.0,1.mx Atltico San Luis,mx,Non-Europe
85,Emam Ashour,10,2,20.0,1.eg Al Ahly,eg,Non-Europe
759,Soufiane Rahimi,6,4,66.7,1.ae Al Ain,ae,Non-Europe
73,Oswin Appollis,4,1,25.0,1.za Orlando Pirates,za,Non-Europe
558,Evidence Makgopa,4,3,75.0,1.za Orlando Pirates,za,Non-Europe
878,Sarpreet Singh,4,2,50.0,1.au Wellington,au,Non-Europe
715,Marco Pa?ali?,3,2,66.7,1.us Orlando City,us,Non-Europe
1033,Mostafa Ziko,8,3,37.5,1.eg Pyramids FC,eg,Non-Europe
238,Nicol s De La Cruz,4,2,50.0,1.br Flamengo,br,Non-Europe
412,Son Heung-min,7,1,14.3,1.us LAFC,us,Non-Europe
588,Thalente Mbatha,4,1,25.0,1.za Orlando Pirates,za,Non-Europe
410,Theo Hern ndez,3,0,0.0,1.sa Al-Hilal,sa,Non-Europe
633,Gilberto Mora,5,0,0.0,1.mx Tijuana,mx,Non-Europe
391,Mohamed Hany,4,0,0.0,1.eg Al Ahly,eg,Non-Europe
793,James Rodr¡guez,6,3,50.0,1.us Minnesota Utd,us,Non-Europe
861,Jacob Shaffelburg,3,0,0.0,1.us LAFC,us,Non-Europe
167,Sebasti n C ceres,3,0,0.0,1.mx Amrica,mx,Non-Europe
483,Franck Kessi,4,2,50.0,1.sa Al-Ahli,sa,Non-Europe
963,Enner Valencia,10,6,60.0,1.mx Pachuca,mx,Non-Europe
801,Cristiano Ronaldo,18,9,50.0,1.sa Al-Nassr,sa,Non-Europe
564,Sadio Man,6,3,50.0,1.sa Al-Nassr,sa,Non-Europe
